species,belly,breast,crown,mantle,nape,rump,tail,tail.underside,throat,wing.coverts,wing.primaries.secondaries,Size,Light_environment ,Parental_care,Territoriality,Hunting_strategy
Actenoides_bougainvillei,-0.249445713,-0.295017098,-0.318845592,-0.304123017,0.024777531,0.212726459,0.267582428,0.036696085,-0.179495324,0.335291159,0.25411697,188,forest,pair,0,
Actenoides_concretus,-0.177869502,-0.294105269,-0.079322496,-0.132040178,-0.050089785,0.13281589,0.17777459,0.014379391,-0.201021417,0.198758127,0.197749935,73.47,forest,pair,0,ground_dweller
Actenoides_hombroni,-0.183842194,-0.23634124,0.172094429,-0.038413394,0.196999054,0.139339836,0.098059717,0.027531644,-0.11697153,0.005678209,-0.026269537,117,forest,pair,0,ground_dweller
Actenoides_lindsayi,-0.027489275,-0.073652557,-0.134133375,0.049986974,-0.076768568,-0.066024575,-0.059201274,-0.043471079,-0.211342026,-0.12714604,-0.120779597,92.84,forest,pair,0,ground_dweller
Actenoides_monachus,-0.237750487,-0.221419179,0.135160437,-0.052921286,0.111501285,-0.051237833,0.03232077,0.031475786,-0.097369177,-0.050806488,-0.061303641,106,forest,pair,0,ground_dweller
Actenoides_princeps,-0.03670871,-0.101569674,0.186683049,-0.094316543,0.111812499,-0.112456688,0.000378632,0.004484885,-0.126593086,-0.070724269,-0.077190786,105,forest,pair,0,
Alcedo_argentata,0.014978616,0.022354953,0.049328672,0.074348186,0.070999818,0.076582483,0.077580047,,-0.065177279,0.057457689,0.049339516,17.84,woodland,pair,0,water_diver
Alcedo_atthis,-0.207765331,-0.182464885,0.059477946,0.133729565,0.087292189,0.171813904,0.185464023,0.045990917,-0.040633018,0.089112292,0.117490991,31.09,woodland,pair,1,water_diver
Alcedo_azurea,-0.21439031,-0.19962328,0.26543541,0.223093869,0.343566994,0.276838139,0.268504391,,-0.123544324,0.229476767,0.15624094,34.9,woodland,pair,,water_diver
Alcedo_coerulescens,-0.018901493,0.063649173,0.102161405,0.040430715,0.11055662,0.143588209,0.111320078,0.033336418,-0.015290722,0.120465345,0.108300979,27.59,open,pair,0,water_diver
Alcedo_cristata,-0.175375628,-0.188495519,0.137007406,0.333466509,0.228145816,0.315851778,0.27729591,-0.067692847,-0.048521735,0.215691659,0.17732804,15.7,open,pair,1,water_diver
Alcedo_cyanopectus,-0.127567156,-0.157374893,0.148827277,0.224886416,0.17386111,0.252664715,,,-0.14520275,0.087726635,0.101999807,21.5,woodland,pair,0,water_diver
Alcedo_euryzona,-0.068576311,0.033175786,-0.014043842,0.048353049,-0.001583354,0.147779147,0.209898159,0.030844665,-0.039389657,0.035552208,0.038918625,43.08,woodland,pair,0,water_diver
Alcedo_hercules,-0.261889415,-0.260155464,0.038670644,0.096591085,0.043803867,0.163031859,0.253844738,0.055761527,-0.150861672,0.076090685,0.083717691,27.59,woodland,pair,0,water_diver
Alcedo_leucogaster,0.00330652,-0.103124448,0.237169026,0.377836256,0.322131157,0.340589753,0.310799473,,-0.005190765,0.358315482,0.218770971,14.5,woodland,pair,0,water_diver
Alcedo_meninting,-0.286038111,-0.233112607,0.251700595,0.33723835,0.340336795,0.352825103,0.28405479,,-0.125689372,0.235570356,0.185683164,20.42,woodland,pair,0,water_diver
Alcedo_pusilla,0.001070866,0.001092088,0.204780349,0.17855088,0.312908781,0.347620746,0.26262403,0.009684702,-0.01759202,0.302277953,0.164281417,13.3,woodland,pair,,water_diver
Alcedo_quadribrachys,-0.299355155,-0.274984354,0.355128768,0.417672743,0.406541038,0.371738411,0.341407942,0.039957512,-0.137820622,0.312603397,0.247792928,34.9,woodland,pair,1,water_diver
Alcedo_semitorquata,-0.185449355,-0.104345161,0.15912585,0.260804008,0.250665763,0.238839876,0.260929438,0.019790132,-0.056737753,0.157361938,0.159360224,47.32,woodland,pair,0,water_diver
Alcedo_vintsioides,-0.213012486,-0.206640365,0.05389264,0.282658062,0.034886213,0.355449752,0.382462662,,-0.100661778,0.21339048,0.256167525,17.9,open,pair,,water_diver
Alcedo_websteri,-0.092850335,-0.109180921,0.132201802,0.169422287,0.220919876,0.282325353,0.210117071,0.041775801,-0.117595198,0.136658126,0.161333316,60.97,woodland,pair,,water_diver
Aspatha_gularis,-0.096262385,-0.169145517,-0.093872925,-0.119466839,-0.107033983,-0.100405476,0.027012978,-0.001607704,0.088655414,-0.128495821,-0.081339758,62.7,forest,pair,0,aerial_catcher
